Type,Key,Required,Description
Character,display_name,Required,Display name for UI labels and summaries.
Character,sheet,Required,Canonical sheet/character name.
Character,adventures,Required,"Array of adventure or downtime entries (legacy `logs` is still accepted by some migration scripts)."
Entry,date,Required,Session or activity date in ISO format (YYYY-MM-DD preferred).
Entry,title,Required,"Module or activity name (legacy alias: `adventureName`)."
Entry,code,Optional,"Module/activity code (legacy alias: `adventureCode`)."
Entry,kind,Optional,"Entry classification; `adventure` or `Downtime Activity`."
Entry,dm,Optional,Dungeon Master name.
Entry,gp_plus,Optional,"Gold earned (legacy alias: `goldPlus`)."
Entry,gp_minus,Optional,"Gold spent (legacy alias: `goldMinus`)."
Entry,dtd_plus,Optional,"Downtime earned (legacy alias: `downtimePlus`)."
Entry,dtd_minus,Optional,"Downtime spent (legacy alias: `downtimeMinus`)."
Entry,level_plus,Optional,"Levels gained (legacy alias: `levelPlus`)."
Entry,perm_items,Optional,Array of permanent items gained.
Entry,lost_perm_item,Optional,Array of permanent items lost.
Entry,consumable_items,Optional,Array of consumable items gained.
Entry,supernatural_gifts,Optional,Array of supernatural gifts gained.
Entry,story_awards,Optional,Array of story awards gained.
Entry,notes,Optional,Free-form notes.
Trade,trade,Optional,"Trade object for modern schema with keys `given`, `received`, `counterpartyCharacter`, `counterpartyPlayer`."
Trade,trades,Optional,"Legacy trade array using `tradeItemGiven`, `tradeItemReceived`, `tradeCharacterName`, `tradePlayerName`, `tradeNotes`."
